feature	CNV_20q	CNV_20p	CNV_Xq11.2 	CNV_14q	CNV_17q24.3	CNV_7q36.3 	CNV_12p	CNV_12q	CNV_7q	CNV_7p	CNV_9q	CNV_3p21.32 	CNV_10p	CNV_10q	CNV_16p	CNV_16q	CNV_22q	CNV_1q	CNV_1p	CNV_14q31.1 	CNV_3q26.32	CNV_8p23.2  	CNV_3q	CNV_3p	CNV_5q	CNV_5p	CNV_1q43    	CNV_Xq23    	CNV_4q34.3  	CNV_18q	CNV_8q24.22	CNV_1q24.1 	CNV_2q37.3  	CNV_17p	CNV_15q	CNV_9p21.3  	CNV_21q	CNV_13q13.3 	CNV_19q	CNV_19p	CNV_6q26    	CNV_6p	CNV_6q	CNV_13q	CNV_Xp22.2 	CNV_11q	CNV_11p	CNV_1q32.1 	CNV_8p	CNV_8q	CNV_17q	CNV_3p25.3  	CNV_5q35.1 	CNV_Xq	CNV_2p	CNV_2q	CNV_1p36.23 	CNV_1p31.1  	CNV_10p14  	CNV_4p	CNV_4q	CNV_4q32.1 	CNV_10q23.31	CNV_9p23    	CNV_3p12.2  	CNV_3q11.2  	CNV_Xp11.4 	CNV_9p	CNV_18p	
TCGA-CJ-4901	0.420	0.420	-0.0099997	0.114	0.23546	0.41123	0.000	0.000	0.411	0.411	-0.187	-0.5058	-0.195	-0.195	0.155	0.155	-0.166	-0.187	-0.187	0.11443	0.11957	0.18029	0.120	-0.386	-0.149	-0.149	-0.18746	-0.0099997	0.067457	-0.168	0.42178	-0.18746	0.19614	0.235	-0.174	-0.18664	-0.181	-0.18714	0.000	0.000	-0.19529	-0.195	-0.195	-0.187	-0.0099997	0.000	0.000	-0.18746	0.180	0.180	0.235	-0.5058	0.44404	0.000	0.196	0.196	-0.17504	-0.17504	-0.19028	0.000	0.000	0	-0.19493	-0.18664	-0.5058	0.11957	-0.0099997	-0.187	-0.168	
TCGA-CJ-4903	0.359	0.359	0.0053684	-0.400	-0.013172	0.37787	0.349	0.349	0.378	0.378	0.000	-0.40551	0.000	0.000	0.321	0.321	0.322	0.000	0.000	-0.40045	0.025766	-0.39684	0.000	-0.384	0.393	0.393	0.0082896	0.0053684	-0.34611	0.000	-0.36438	0.0082896	0.33864	0.000	0.000	0.0025903	-0.367	-0.007379	0.000	0.000	-0.022925	0.000	0.000	0.000	0.0053684	0.000	0.000	0.0082896	-0.397	-0.397	0.000	-0.42564	0.39291	0.000	0.330	0.330	-0.43543	0.0082896	0.0067589	-0.346	-0.346	-0.34611	-0.0076552	0.0025903	-0.40551	-0.40551	0.0053684	0.000	0.000	
TCGA-CJ-4902	0.148	0.148	-0.033117	0.000	0.0044582	0.0014022	0.000	0.000	0.000	0.000	0.000	-0.40084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.039242	0.029059	-0.033253	0.000	-0.401	0.000	0.000	-0.032572	-0.033346	-0.032708	0.000	-0.033253	-0.032572	-0.39729	0.000	0.000	-0.083052	0.000	0.023301	0.000	0.000	-0.032162	0.000	0.000	0.000	-0.016414	0.000	0.000	-0.032572	0.000	0.000	0.000	-0.40649	0.42252	0.000	0.000	0.000	-0.032572	-0.032572	0.00279	0.000	0.000	-0.032708	0.00279	-0.083052	-0.40339	-0.38793	3.6569	0.000	0.000	
TCGA-B0-5697	0.000	0.000	0.00083195	-0.403	-0.0098185	-0.0018014	0.376	0.376	0.000	0.000	0.000	-0.40904	0.000	0.000	0.378	0.378	0.000	0.000	0.000	-0.4034	0.0043493	0	0.000	-0.409	0.396	0.396	0.0063033	0.00083195	0.0037465	0.000	0	0.0069435	-0.0069195	0.000	0.000	-0.0020784	-0.405	0.0023581	0.000	0.000	-0.0012473	0.000	0.000	0.000	0.00083195	0.000	0.000	0	0.000	0.000	0.000	-0.40904	0.40289	0.000	0.000	0.000	-0.0056757	0.002787	-0.01354	0.000	0.000	0.0037465	-0.0080244	-0.0020784	-0.40948	0.011261	0.00083195	0.000	0.000	
TCGA-CJ-4908	0.000	0.000	-0.0045014	-0.107	0.0064211	-0.0046595	0.000	0.000	0.000	0.000	-0.112	-0.49582	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.10673	0.0027752	0.0094535	0.000	-0.496	0.478	0.000	0	-0.0045014	-0.0087481	0.000	0.015002	0	0.0078593	0.000	0.000	-0.11197	0.000	-0.0026586	0.000	0.000	-0.00099661	0.000	0.000	0.000	-0.033076	0.000	0.000	0	0.000	0.000	0.000	-0.50059	0.49421	0.000	0.000	0.000	0.010315	0.010315	-0.007733	0.000	0.000	-0.0087481	-0.00044229	-0.11197	0.014862	0.0035811	-0.0025406	-0.112	0.000	
TCGA-A3-3373	0.000	0.000	-0.083688	0.000	-0.0065334	-0.0027707	0.000	0.000	0.000	0.000	0.000	-0.513	0.000	0.000	0.000	0.000	0.000	0.000	-0.489	0	0.016985	-0.50353	0.000	-0.513	0.000	0.000	0.022024	-0.081472	0.010564	0.000	-0.49705	0.022024	-0.0038779	0.000	0.000	0.0036076	0.000	0.0024969	0.000	0.000	0.0068044	0.000	0.000	0.000	-0.083688	0.000	0.000	0.022024	-0.504	-0.504	0.000	-0.513	0.006472	0.000	0.000	0.000	-0.48921	-0.48921	-0.0056757	-0.488	-0.488	0.010564	-0.0056757	0.0036076	-0.51377	0.013463	-0.083688	0.000	0.000	
TCGA-BP-5187	0.000	0.000	-0.0049844	0.000	-0.0027707	-0.0012473	0.000	0.000	0.000	0.000	0.000	-0.44059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0019418	-0.44059	-0.00013862	-0.441	-0.441	0.334	0.334	0.010285	-0.0049844	0.0076392	0.000	-0.00013862	0.0014547	0	0.000	0.000	-0.052396	0.000	-0.00097017	0.000	0.000	0.004351	0.000	0.000	0.000	-0.0049844	0.000	0.000	0.010285	0.000	0.000	0.000	-0.44059	0.33415	0.000	0.000	0.000	0.0014547	0.0014547	-0.010094	0.000	0.000	0.0076392	-0.012851	-0.052396	-0.44059	-0.44059	-0.0049844	0.000	0.000	
TCGA-BP-5181	0.000	0.000	-0.052801	0.000	-0.023155	-0.0045413	0.000	0.000	0.000	0.000	0.000	-0.69568	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0022193	0.020623	0.016006	0.000	-0.696	0.000	0.000	0.0033299	-0.052801	0.018663	-0.677	0.0072217	-0.0044312	0	0.000	0.000	0.65479	0.000	0.012934	0.000	0.000	-0.71288	0.000	0.000	0.000	-0.052801	0.000	0.000	0.0033299	0.000	0.000	0.000	-0.69568	0.6766	0.000	0.000	0.000	-0.0044312	-0.0044312	-0.0055375	0.000	0.000	0.018663	-0.0055375	0.65479	-0.69568	0.020623	-0.052801	0.655	-0.677	
TCGA-BP-5180	0.000	0.000	-0.21317	-0.757	-0.031768	0.0070826	0.000	0.000	0.000	0.000	-0.756	-0.73801	0.000	-0.763	0.000	0.000	0.000	0.000	0.000	-0.75728	-0.73897	0.0029133	-0.738	-0.738	0.000	0.000	0.011958	-0.21317	0.031999	0.000	0.0029133	0.011958	-0.0029091	0.000	0.000	-0.75596	0.000	0.0046659	0.000	0.000	-0.74629	-0.755	-0.755	0.000	-0.21317	0.000	0.000	0.011958	0.000	0.000	0.000	-0.76435	-0.014606	-0.213	0.000	0.000	-0.035585	0.011958	0.034818	0.000	0.000	0.031999	-0.76527	-0.75596	-0.73801	-0.73801	-0.21317	-0.756	0.000	
TCGA-BP-5183	0.000	0.000	-0.10959	-0.632	-0.023155	0.0073609	0.000	0.000	0.000	0.000	-0.625	-0.6351	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.63151	0.021603	0.012097	0.000	-0.635	0.000	0.000	-0.005261	-0.09806	-0.61968	0.000	0.012097	-0.005261	0	0.000	0.000	-0.62541	0.000	0.025952	0.000	0.000	0.018383	0.000	0.000	0.000	-0.11168	0.000	0.000	-0.005261	0.000	0.000	0.000	-0.63665	0.61281	0.000	0.000	0.000	-0.005261	-0.005261	-0.0033243	-0.624	-0.624	-0.61968	-0.0033243	-0.62541	-0.6351	0.021603	-0.11793	-0.625	0.000	
TCGA-BP-5182	0.000	-0.458	-0.027671	0.000	0.42452	-0.010139	0.000	0.000	0.000	0.000	0.000	-0.45661	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.0079175	-0.45608	0.000	-0.457	0.000	0.000	-0.0058066	-0.027671	0.011261	-0.431	0.0081959	-0.0020784	-0.0030475	0.000	0.000	0.0055529	0.000	0.0060666	0.000	0.000	0.0023581	0.000	0.000	0.000	-0.027671	0.000	0.000	-0.0058066	-0.456	0.000	0.425	-0.45661	0.0012481	0.000	0.000	0.000	-0.021441	-0.0020784	-0.0041546	0.000	0.000	0.011261	-0.0084385	0.0055529	-0.45661	0.0014086	-0.027671	0.000	0.000	
TCGA-B0-5104	0.000	0.000	-0.0030475	0.000	0.0095883	0.026514	0.000	0.000	0.000	0.000	0.000	-0.52194	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0012481	0.0076392	-0.0016766	0.000	-0.512	0.000	0.000	-0.00046358	-0.0030475	-0.0011087	0.000	0	-0.00046358	0.48234	0.000	0.000	0	0.000	0.0052749	0.000	0.000	-0.00097017	0.000	0.000	0.000	-0.0044085	0.000	0.000	-0.00046358	0.000	0.000	0.000	-0.54081	0.026795	0.000	0.000	0.000	0.012934	-0.00046358	-0.006505	0.000	0.000	-0.0011087	-0.006505	0	-0.00061975	-0.00061975	-0.0065373	0.000	0.000	
TCGA-B0-5107	0.000	0.000	-0.072451	-0.571	-0.0040162	-0.0059522	0.517	0.517	0.000	0.000	-0.564	-0.57851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.57534	0.0049969	0.0068044	0.000	0.000	0.000	-0.581	0	-0.072451	0.00083195	0.000	0.0068044	0	-0.0016629	0.000	0.000	-1.0413	0.000	-0.00055444	0.000	0.000	-0.0013858	0.000	0.000	0.000	-0.072451	0.000	0.000	0	0.000	0.000	0.000	-0.57851	0.0023581	0.000	0.000	0.000	0	0	-0.0076101	0.000	0.000	0.00083195	-0.0065156	-0.57328	0.0049969	0.0049969	-0.072451	-0.564	0.000	
TCGA-B0-5106	0.455	0.455	0.036466	-0.512	0.0013331	-0.012629	0.000	0.000	0.000	0.000	0.000	-0.0051762	0.000	0.000	0.451	0.451	0.000	0.000	0.000	-0.51216	-0.0051762	-0.02977	0.000	0.000	0.473	0.473	0.00044801	0.036466	0.0027208	0.000	-0.0082096	0.00044801	0.0039705	0.000	0.000	-0.001578	0.469	0.0027208	0.000	0.000	0.00086445	0.000	0.000	0.000	0.049769	0.000	0.000	0.00044801	0.000	0.000	0.000	-0.0051762	0.47334	0.000	0.000	0.000	-0.010498	0.0050821	-0.011251	0.000	0.000	0.0027208	-0.011251	-0.001578	-0.0051762	-0.0051762	0.049769	0.000	0.000	
TCGA-BP-5189	0.000	0.000	-0.051533	-0.544	0.011316	-0.011005	0.000	0.000	0.000	0.000	-0.539	-0.55142	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.54407	-0.002162	0.018438	-0.551	-0.551	0.000	0.000	0.006025	-0.051668	-0.001608	0.000	0.018438	0.006025	-0.070149	0.000	0.000	-0.53912	0.000	0.0014417	0.000	0.000	-0.0049297	0.000	0.000	0.000	-0.056928	0.000	0.000	0.006025	0.000	0.000	0.000	-0.55142	0.49085	0.000	0.000	0.000	0.006025	0.006025	-0.009074	0.000	0.000	-0.001608	-0.011524	-0.53912	-0.55142	-0.002162	-0.051533	-0.539	0.000	
